Model;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5
NETL unsupervised;2.648;2.579;2.494;2.418;0.831;0.842;0.864;2.139;2.422;2.358;2.277;0.548;0.760;0.825;2.527;2.258;2.167;2.055;0.859;0.790;0.819;2.889;2.736;2.728;2.693;0.930;0.870;0.898;2.750;2.764;2.511;2.414;0.877;0.907;0.862;2.917;2.613;2.615;2.592;0.944;0.874;0.911
NETL supervised;2.691;2.552;2.486;2.393;0.849;0.839;0.868;2.528;2.441;2.259;2.160;0.786;0.836;0.847;2.527;2.226;2.151;2.071;0.828;0.733;0.803;2.889;2.708;2.739;2.706;0.930;0.857;0.891;2.667;2.690;2.578;2.406;0.821;0.865;0.877;2.817;2.660;2.611;2.569;0.879;0.885;0.910
BART-TL-all;2.410;2.407;2.296;2.296;0.713;0.752;0.788;1.767;1.906;1.982;1.992;0.486;0.583;0.725;2.720;2.653;2.355;2.289;0.866;0.914;0.860;2.653;2.556;2.434;2.488;0.793;0.782;0.780;2.222;2.454;2.414;2.303;0.614;0.712;0.767;2.742;2.508;2.317;2.407;0.831;0.794;0.819
BART-TL-all (unsupervised);2.669;2.539;2.443;2.296;0.827;0.834;0.866;2.583;2.283;2.173;1.992;0.832;0.829;0.890;2.533;2.522;2.457;2.289;0.751;0.829;0.859;2.656;2.607;2.553;2.488;0.831;0.814;0.828;2.833;2.648;2.544;2.303;0.890;0.851;0.872;2.717;2.630;2.501;2.407;0.817;0.846;0.880
BART-TL-all (supervised);2.631;2.563;2.441;2.296;0.802;0.838;0.865;2.583;2.356;2.153;1.992;0.832;0.866;0.902;2.383;2.411;2.463;2.289;0.696;0.766;0.831;2.739;2.589;2.570;2.488;0.849;0.800;0.825;2.625;2.745;2.603;2.303;0.765;0.873;0.898;2.783;2.689;2.417;2.407;0.852;0.872;0.865
BART-TL-ngram;2.310;2.303;2.175;2.180;0.670;0.727;0.750;1.611;2.011;1.959;2.051;0.376;0.591;0.674;2.760;2.533;2.185;2.151;0.859;0.861;0.813;2.611;2.690;2.648;2.466;0.770;0.815;0.842;2.111;2.157;1.975;1.996;0.558;0.633;0.661;2.533;2.131;2.097;2.229;0.818;0.759;0.770
BART-TL-ngram (unsupervised);2.643;2.517;2.337;2.180;0.817;0.845;0.853;2.583;2.483;2.227;2.051;0.832;0.915;0.926;2.533;2.558;2.356;2.151;0.724;0.824;0.829;2.656;2.635;2.664;2.466;0.831;0.835;0.863;2.944;2.375;2.286;1.996;0.961;0.814;0.854;2.478;2.544;2.123;2.229;0.724;0.834;0.786
BART-TL-ngram (supervised);2.718;2.471;2.261;2.180;0.855;0.827;0.827;2.750;2.386;2.175;2.051;0.927;0.885;0.911;2.483;2.246;2.209;2.151;0.703;0.667;0.732;2.739;2.700;2.581;2.466;0.849;0.851;0.836;2.778;2.509;2.144;1.996;0.865;0.856;0.818;2.800;2.478;2.163;2.229;0.905;0.847;0.824
