Model;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5
NETL unsupervised;2.669;2.599;2.558;2.439;0.827;0.824;0.849;2.139;2.422;2.392;2.325;0.548;0.713;0.773;2.647;2.353;2.302;2.071;0.838;0.756;0.797;2.889;2.736;2.783;2.720;0.930;0.873;0.909;2.750;2.764;2.583;2.418;0.877;0.889;0.849;2.917;2.678;2.686;2.601;0.944;0.877;0.910
NETL supervised;2.732;2.594;2.547;2.406;0.865;0.838;0.859;2.528;2.441;2.292;2.182;0.786;0.799;0.803;2.767;2.332;2.289;2.097;0.915;0.769;0.811;2.889;2.708;2.756;2.724;0.930;0.857;0.888;2.667;2.727;2.678;2.414;0.821;0.867;0.882;2.817;2.717;2.676;2.562;0.879;0.885;0.903
BART-TL-all;2.348;2.383;2.268;2.289;0.676;0.715;0.729;1.767;1.906;1.982;2.086;0.454;0.516;0.608;2.560;2.680;2.260;2.197;0.730;0.843;0.781;2.486;2.418;2.339;2.472;0.762;0.741;0.735;2.222;2.454;2.325;2.276;0.614;0.706;0.721;2.742;2.508;2.431;2.398;0.831;0.791;0.811
BART-TL-all (unsupervised);2.715;2.596;2.484;2.289;0.831;0.825;0.833;2.583;2.543;2.307;2.086;0.754;0.786;0.801;2.800;2.429;2.365;2.197;0.871;0.790;0.814;2.656;2.607;2.553;2.472;0.831;0.814;0.812;2.833;2.745;2.589;2.276;0.890;0.888;0.866;2.717;2.630;2.584;2.398;0.817;0.841;0.869
BART-TL-all (supervised);2.711;2.610;2.497;2.289;0.826;0.827;0.838;2.583;2.587;2.270;2.086;0.754;0.814;0.795;2.650;2.407;2.403;2.197;0.816;0.764;0.813;2.739;2.589;2.637;2.472;0.849;0.800;0.828;2.792;2.745;2.647;2.276;0.860;0.880;0.895;2.783;2.689;2.514;2.398;0.852;0.867;0.855
BART-TL-ngram;2.317;2.327;2.238;2.192;0.669;0.707;0.730;1.611;2.039;2.092;2.128;0.364;0.550;0.646;2.800;2.480;2.132;2.087;0.867;0.818;0.782;2.611;2.690;2.714;2.494;0.770;0.815;0.846;2.111;2.176;2.019;2.025;0.558;0.612;0.628;2.533;2.276;2.214;2.209;0.818;0.759;0.756
BART-TL-ngram (unsupervised);2.677;2.514;2.370;2.192;0.823;0.812;0.820;2.583;2.400;2.277;2.128;0.776;0.781;0.813;2.733;2.411;2.253;2.087;0.824;0.763;0.807;2.656;2.635;2.703;2.494;0.831;0.835;0.862;2.944;2.486;2.331;2.025;0.961;0.837;0.829;2.478;2.620;2.269;2.209;0.724;0.834;0.786
BART-TL-ngram (supervised);2.787;2.497;2.333;2.192;0.880;0.810;0.807;2.750;2.372;2.250;2.128;0.871;0.787;0.808;2.683;2.206;2.143;2.087;0.802;0.656;0.708;2.739;2.709;2.648;2.494;0.849;0.856;0.846;2.944;2.583;2.289;2.025;0.961;0.877;0.833;2.800;2.565;2.302;2.209;0.905;0.847;0.824
