Model;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5;Top-1 Avg.;Top-3 Avg.;Top-5 Avg.;All Avg.;nDCG-1;nDCG-3;nDCG-5
NETL unsupervised;2.659;2.589;2.497;2.417;0.831;0.848;0.871;2.194;2.455;2.378;2.289;0.574;0.777;0.837;2.567;2.258;2.176;2.051;0.859;0.804;0.830;2.829;2.731;2.712;2.678;0.880;0.850;0.891;2.808;2.783;2.523;2.420;0.877;0.911;0.870;2.882;2.611;2.606;2.585;0.970;0.892;0.921
NETL supervised;2.743;2.566;2.489;2.391;0.884;0.853;0.880;2.625;2.473;2.278;2.172;0.837;0.857;0.863;2.567;2.273;2.155;2.064;0.867;0.770;0.822;2.892;2.683;2.724;2.691;0.924;0.834;0.886;2.792;2.709;2.589;2.410;0.867;0.885;0.894;2.811;2.658;2.609;2.563;0.921;0.905;0.925
BART-TL-all;2.414;2.383;2.278;2.289;0.725;0.752;0.787;1.892;1.938;2.002;2.010;0.515;0.603;0.737;2.629;2.514;2.225;2.226;0.872;0.887;0.838;2.587;2.521;2.413;2.484;0.750;0.756;0.763;2.289;2.476;2.441;2.320;0.666;0.733;0.787;2.709;2.489;2.295;2.394;0.845;0.802;0.820
BART-TL-all (unsupervised);2.643;2.531;2.434;2.289;0.825;0.836;0.867;2.583;2.325;2.198;2.010;0.810;0.834;0.892;2.419;2.429;2.367;2.226;0.746;0.815;0.850;2.656;2.618;2.551;2.484;0.831;0.816;0.828;2.856;2.674;2.573;2.320;0.905;0.860;0.883;2.665;2.594;2.464;2.394;0.820;0.853;0.880
BART-TL-all (supervised);2.636;2.547;2.423;2.289;0.812;0.841;0.868;2.583;2.356;2.153;2.010;0.810;0.860;0.893;2.383;2.339;2.405;2.226;0.729;0.772;0.849;2.739;2.599;2.559;2.484;0.849;0.805;0.824;2.703;2.771;2.608;2.320;0.804;0.885;0.905;2.732;2.637;2.378;2.394;0.854;0.872;0.864
BART-TL-ngram;2.308;2.278;2.159;2.170;0.673;0.723;0.747;1.708;2.053;1.984;2.073;0.387;0.600;0.682;2.662;2.419;2.094;2.093;0.873;0.841;0.804;2.532;2.636;2.615;2.449;0.724;0.782;0.821;2.172;2.164;1.979;2.001;0.601;0.650;0.670;2.525;2.116;2.088;2.222;0.812;0.761;0.769
BART-TL-ngram (unsupervised);2.616;2.500;2.326;2.170;0.816;0.843;0.851;2.583;2.493;2.257;2.073;0.810;0.908;0.926;2.419;2.467;2.272;2.093;0.724;0.809;0.825;2.656;2.631;2.649;2.449;0.831;0.831;0.858;2.967;2.387;2.290;2.001;0.975;0.823;0.858;2.422;2.522;2.109;2.222;0.724;0.840;0.785
BART-TL-ngram (supervised);2.728;2.459;2.252;2.170;0.871;0.831;0.830;2.750;2.395;2.206;2.073;0.905;0.878;0.911;2.483;2.181;2.141;2.093;0.757;0.679;0.741;2.767;2.681;2.565;2.449;0.865;0.845;0.834;2.856;2.535;2.143;2.001;0.905;0.874;0.822;2.744;2.456;2.149;2.222;0.905;0.854;0.825
